Буклеты:,,
КВАРТИРЫ С РЕМОНТОМ,https://drive.google.com/file/d/1Bpn7YCHAM6Yv8EEPr3zoyIxfpqo1jozs/view,
Левобережье,2 литер https://drive.google.com/file/d/1J-yMRSgjHx_j0XTvT19gVkVmES73W40S/view,
Smartpolet,1 кластер https://drive.google.com/file/d/12fjsHGs9wZRKkbwmc8nhnBuqsFIddoEA/view,
Движение61,69 кластер https://drive.google.com/file/d/1T7u7-5gtfMx8aNTFut8wa1yhFubGZ0BG/view,
Эстет,45 кластер https://drive.google.com/file/d/129WN5hQTvnRzj2_IjGm7cnCwF5udJ5_7/view,
,48 кластер https://drive.google.com/file/d/1eo4Why9fmmfWGXkivpBBW6mgNVb3B39v/view,
,42 кластер https://drive.google.com/file/d/15gcBLnEX-hv_6U2xVaHd5Ijm8MIwOwpf/view,
Коммерция - https://disk.yandex.ru/i/TUuXs2sc9FDMmQ общий буклет,,
Планировки по всем ЖК,https://disk.yandex.ru/i/fL6IRPAI6DZbhA,
Левобережье,https://disk.yandex.ru/d/aemHN47W3y6M9A,
Smartpolet,https://disk.yandex.ru/d/80znj1PlNTzp_w,
Сияние,https://disk.yandex.ru/d/J7n8CEF58xKphg,
Квартал61,https://disk.yandex.ru/d/1Au0URpHsTbOoQ,
Персона,https://disk.yandex.ru/d/Wx_Mh5ZHLYcAEw,
Фото сданных домов,,
Левобережье,https://disk.yandex.ru/d/bvORR-vY5vuRlw,
Smartpolet,https://disk.yandex.ru/d/qnZQ2KEHq8lObg,
Сияние,https://disk.yandex.ru/d/LYqDXFJb3_i_eQ,
Движение61,https://disk.yandex.ru/d/4Xw0QPOiMU_hZg,
Эстет,https://disk.yandex.ru/d/PMDirUT1gXyByw,
"Архитектурная съёмка — ЛБ, SP, Сияние",https://disk.360.yandex.ru/d/yiMubWPcmEcI5w,
Видео сданных домов,,
Левобережье,https://disk.yandex.ru/i/yQmipcMuSeWy5w,
Smartpolet,https://disk.yandex.ru/d/Pb8NRN7lLKwIZA,
Сияние,https://disk.yandex.ru/d/1dkhFGzyluKHNg,
Движение61,https://disk.yandex.ru/d/Gi6tCuNNAXu8tQ,
Эстет,https://disk.yandex.ru/i/N9lnD776yO44kQ,
Обзорные ролики,,
Общая ссылка по всем ЖК,https://disk.yandex.ru/d/SxTu2EcvgV9bPg,
Дизайн-код по всем проектам (папка),,
Все ЖК,https://drive.google.com/drive/folders/1w1VY9Tdf4XrSXyawP9sXX8_oJCt5WUGo,
Живые фото/видео ремонт Сияние,,
Фото,Вариант 1 https://disk.yandex.ru/d/6oG-K6nfekpc0w,
,Вариант 2 https://disk.yandex.ru/d/jVdSHZj8g223eQ,
,Вариант 3 https://disk.yandex.ru/d/h-W2mfKpMBhd5Q,
,Вариант 4 https://disk.yandex.ru/d/SZArzdWsPo51cA,
,Вариант 5 https://disk.yandex.ru/d/CmnzddMunEYmig,
,Вариант 8 https://disk.yandex.ru/d/1bk0W6gbTgKyGg,
